Country Name,"Life expectancy at birth, total (years)","Population, total",Population growth (annual %),Urban population (% of total population),Access to electricity (% of population),Forest area (% of land area),Mobile cellular subscriptions (per 100 people),GDP per capita (current US$),GDP growth (annual %),"Access to electricity, rural (% of rural population)","Mortality rate, infant (per 1,000 live births)","Foreign direct investment, net inflows (% of GDP)",Current health expenditure (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Individuals using the Internet (% of population)
Albania,78.769,2777689,-1.21579032012532,63.799,100,28.7919708029197,98.395,6846.42669381643,4.82669611912765,100,8.3,7.57934158372429,6.19368076,10.137,82.6137
Algeria,76.129,45477389,1.58758210690673,74.772,100,0.826286664371426,107.787,4961.55257664733,3.60000000094915,99.3,20,0.107160824113693,3.6230433,12.346,74.8319
Argentina,75.806,45407904,0.210808731072658,92.347,100,10.3610566048767,131.484,13935.6811110049,5.26987967384072,100,8.3,2.40302244246396,9.86305332,6.805,88.3754
Armenia,74.7658536585366,2969200,0.2326562627468,63.573,100,11.6336717932132,130.54,6571.97445545099,12.5999999997766,100,9.3,4.99991586140552,9.96212864,13.379,77.0277
Australia,83.2,26014399,1.27269881377618,86.488,100,17.4213145571644,109.469,64997.0136536475,4.24238555336139,100,3.2,4.16149504206489,9.92687893,3.728,97.0424
Austria,81.2951219512195,9041851,0.956287797076634,59.256,100,47.206131846825,121.166,52176.6649141178,5.27789448538658,100,2.7,3.03143362679607,11.15729332,4.992,93.6141
Azerbaijan,74.125,10141756,0.039507866238038,57.17,100,13.9724815486993,107.506,7770.594223351,4.71468037857544,100,14.1,-5.67773710614177,3.97840643,5.65,88
"Bahamas, The",74.491,397538,0.293483989063331,83.492,100,50.9350649350649,101.624,34957.1613279737,10.8774550145968,100,11.6,3.82040434055862,7.21692038,9.272,94.7326
Bahrain,80.992,1524693,1.34221960637543,89.743,100,0.936708860759494,139.636,30470.5219276023,6.18016125475185,100,7,4.20018456310523,3.83745313,1.326,100
Bangladesh,74.265,169384897,1.02423384746683,39.711,99.4,14.458774758176,109.867,2716.48592780431,7.09982877575158,99.2,24.4,0.355308723397177,2.39038587,4.593,41.6165
Barbados,75.676,282318,0.0605883465692588,31.324,100,14.6511627906977,114.581,22164.0260273876,17.8328630251327,100,9.6,3.19626497260361,6.29389191,8.365,79.4451
Belarus,74.1033658536585,9228071,-0.804228426880244,80.326,100,43.3351396620523,128.315,7994.64806074889,-4.65839591573585,100,2,2.17745011943276,6.65919876,3.574,89.5073
Belgium,81.7487804878049,11680210,0.808165350001861,98.153,100,22.604446776415,101.68,50822.2518538518,4.2593607365269,100,3.1,2.00046456440554,10.76192474,5.57,94.0078
Belize,72.19,402733,1.85124805102003,46.396,98.6,55.0078912757563,67.175,7068.45478269722,9.65297772389758,97.1,10.9,4.9498706439243,4.23173904,8.763,71.8096
Benin,60.475,13759501,2.54740926342667,49.534,56.5,26.9169031571479,105.745,1266.42710981159,6.25294705373625,45.5,47.7,2.15770537565076,2.67981386,1.685,30.0134
Bhutan,72.754,780914,0.703183917780367,43.686,100,71.5521761929733,95.1298,3711.32767981591,5.21386783786224,100,19.1,0.289904655137253,4.38545895,5.947,86.2903
Bolivia,67.434,12077154,1.16425907336882,70.83,99.9,46.5396883596418,101.572,3643.92826984604,3.60568042633635,95.6,20.7,0.0141722868393946,8.43142891,3.552,67.3612
Bosnia and Herzegovina,76.777,3204802,-1.24363802761194,49.841,100,42.7326171875,118.944,7655.59421024383,4.22681101095546,100,5.5,3.7882728069108,8.71644783,12.657,78.8455
Botswana,68.749,2439892,1.58848021878269,72.224,75.9,26.4995676953752,178.205,8328.70905682185,5.48601706446772,25,39.2,3.49204705183736,5.72838593,23.615,80.3696
Brazil,74.872,210306415,0.360180890872169,87.555,100,59.1275092305226,101.245,9281.33334441234,3.01669435393015,97.3,12.6,3.8221961533297,9.14277458,9.231,80.5278
Brunei Darussalam,72.917,455370,0.804554269312164,78.854,100,72.1062618595825,116.108,36632.9280421411,-1.62833154022366,100,8.3,-1.73946797970418,1.81768215,5.191,98.9704
Bulgaria,74.1609756097561,6465097,-0.650676134087796,76.363,100,36.0998526160649,116.679,13999.6719197289,4.03877758301681,99.6,5.1,5.59153979384169,7.66357517,4.268,79.1269
Burkina Faso,60.7,22509038,2.30907147387783,31.877,19.5,22.3552631578947,119.463,836.118304593682,1.4972397409897,3.4,46.1,3.5586103002345,6.77182007,5.389,14.6238
Burundi,62.882,13321097,2.70585008916716,14.417,10.3,10.8894080996885,56.26,250.634225368744,1.84899943948213,1.6,32.4,0.757355122631358,8.39522648,0.915,11.0009
Cabo Verde,75.907,519741,0.596688345869947,67.545,97.1,11.4937965260546,113.247,4323.31362032709,15.843675684642,96.9,11.5,5.43014452079405,6.67440224,12.246,72.7601
Cambodia,70.528,17201724,1.33088813106016,25.114,92.3,43.9439723544074,113.392,2325.03050040841,5.12990110767267,88,21.1,8.94830125779534,4.71089554,0.231,59.6606
Cameroon,62.443,27632771,2.62905090961273,58.733,71,42.7925789596158,89.8274,1604.87726954895,3.7367840056412,25,42.5,2.08735032157122,4.47835922,3.653,41.775
